budget	link	location	post_date	propose_amount	title	view	content	office	time_limit	owner_positive
5千~1萬	http://case.518.com.tw/casepage-detail-121263.html?from=google&a_id=3471	新北市	2017-02-16	9	網拍需求長期配合美工及網路各平台上架	958	"1.案件說明:商品圖檔美術編輯能獨力將商品照片及相關文案資料消化後，將圖片編輯成生動完整的圖檔，做出最吸引消費者的圖片，具有行銷概念創造商品的銷售買氣。
通路平台上架編輯 : 熟悉購通..欲查看案件詳細內容，請先登入或免費註冊"	在家工作 / 須定期至指定公司	60 天 【長期合作】 (註:尋找日後配合人選)	低
10萬~30萬	http://case.518.com.tw/casepage-detail-121261.html?from=google&a_id=3471	不拘	2017-02-16	7	網站版型設計 手遊畫面修改	566	"1.案件內容：網站版型設計 手遊畫面修改
2.配合時間：都可以
3.配合地點：都可以
4.注意事項：希望有設計經驗欲查看案件詳細內容，請先登入或免費註冊"		30 天 【一般案件】	低
5千以內	http://case.518.com.tw/casepage-detail-120073.html?from=google&a_id=3471	新北市	2017-02-16	18	商品說明廣告BANNER 製作 長期需要	1432	"1.案件說明：網拍商品說明頁製作優化 google 臉書廣告圖片製作優化 影片剪接後製
2.配合時間：長期需要長期配合
3.配合地點：大台北地區 公司在中山區 中山國小站旁
4.注意事項：請附上作..欲查看案件詳細內容，請先登入或免費註冊"	在家工作 / 在自設公司、工作室接案 / 須定期至指定公司	60 天 【長期合作】 (註:尋找日後配合人選)	中
5千以內	http://case.518.com.tw/casepage-detail-118545.html?from=google&a_id=3471	新北市	2017-02-16	23	食品類 Banner設計	1554	"1.案件說明：食品類 Banner設計 需resize
2.配合時間：一週內
3.配合地點：在家作業(必要時至公司討論 新北泰山)
4.注意事項：緊急情況時需配合趕稿
                      案件結案算..欲查看案件詳細內容，請先登入或免費註冊"	在家工作 / 在自設公司、工作室接案 / 須定期至指定公司	60 天 【長期合作】 (註:尋找日後配合人選)	低
5千~1萬	http://case.518.com.tw/casepage-detail-107575.html?from=google&a_id=3471	彰化縣	2017-02-16	52	長期配合的網頁美工設計	14250	"1.案件說明：(網頁設計的美工，需要有經驗，不限制軟體，接案子在一定的時間內完成美工設計)
2.配合時間：(依照個案討論時間，以公司需求為主
3.配合地點：(在家作業，部分時間需要討論在..欲查看案件詳細內容，請先登入或免費註冊"	在家工作	30 天 【一般案件】	中
5千以內	http://case.518.com.tw/casepage-detail-115907.html?from=google&a_id=3471	新竹縣	2017-02-16	22	目前以單品項EDM設計製作	1714	"1.設計公司用型錄，主要當產品型錄brochure，數張文字檔案設計(已有底稿資料)
2.會提供基本素材及文字，必須做2款產品(目前已提供範例)
3.須進行美編設計及文字排版
4.執行時間：105/10..欲查看案件詳細內容，請先登入或免費註冊"	在家工作	30 天 【一般案件】	低
5萬~10萬	http://case.518.com.tw/casepage-detail-121227.html?from=google&a_id=3471	台中市	2017-02-15	7	後端工程師.視覺設計	783	"1.案件說明：遊戲報表/API串接/新增功能/圖片製作
2.配合地點：後端工程師需要在台中就職(外縣市可提供住)/視覺設計可在校生在家工作者
3.注意事項：後端工程師沒有特別要求，圖片能在期限..欲查看案件詳細內容，請先登入或免費註冊"	在家工作	30 天 【長期合作】 (註:尋找日後配合人選)	低
1萬~5萬	http://case.518.com.tw/casepage-detail-117039.html?from=google&a_id=3471	新北市	2017-02-15	4	急件! Joomla簡易修改	846	"1.案件內容：
急件! Joomla網站修改馬上初步詢問如果ok會馬上發案，二週就可以結案給款 目前情況是已經有Jommla網站需完善功能及調整，需做前端設計，需要熟悉Joomla及購物系統的接案人合作！..欲查看案件詳細內容，請先登入或免費註冊"	在家工作	30 天 【急件】	中
1萬~5萬	http://case.518.com.tw/casepage-detail-119233.html?from=google&a_id=3471	不拘	2017-02-15	16	資料庫程式設計	2150	"1.案件說明：網站後端資料庫程式設計師，程式語言需熟悉～PHP、Go或是Python, 資料庫必須熟悉 MySQL。
2.配合時間：面洽
3.配合地點：不限
4.注意事項：可以長期合作者佳！欲查看案件詳細內容，請先登入或免費註冊"	在家工作 / 在自設公司、工作室接案	60 天 【長期合作】 (註:尋找日後配合人選)	中
1萬~5萬	http://case.518.com.tw/casepage-detail-119239.html?from=google&a_id=3471	台北市	2017-02-15	9	C# .net程式設計師	1255	"1.案件說明：專案系統維護，程式Debug，主管交辦事項
2.配合時間：長期合作
3.配合地點：台北市
4.注意事項：能獨立工作並善於溝通協調，以資管資工背景優先欲查看案件詳細內容，請先登入或免費註冊"	須定期至指定公司	60 天 【長期合作】 (註:尋找日後配合人選)	低
5千~1萬	http://case.518.com.tw/casepage-detail-121026.html?from=google&a_id=3471	台北市	2017-02-14	17	需求產商品上架..LINE@ FB行銷.	992	"1.案件說明：LINE@及FB商品行銷,EDM版面設計,產品上架編輯.....
2.配合時間：彈性
3.配合地點：接案方工作室作業或到公司開會討論內容
4.注意事項：配合度高,能配合本公司進度,本公司案..欲查看案件詳細內容，請先登入或免費註冊"	在家工作 / 在自設公司、工作室接案 / 須定期至指定公司	10 天 【長期合作】 (註:尋找日後配合人選)	中
